stem,image_J_or_degree_zero,non_J_component,full_3_primary_component,non_J_generators,notes,status,source
26,0,Z/3,Z/3,beta_2,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
27,Z/3,0,Z/3,,"im J; t=(k+1)/4=7, v_3(t)=0",exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
28,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
29,0,Z/3,Z/3,alpha_1 beta_2,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
30,0,Z/3,Z/3,beta_1^3,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
31,Z/3,0,Z/3,,"im J; t=(k+1)/4=8, v_3(t)=0",exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
32,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
33,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
34,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
35,Z/27,0,Z/27,,"im J; t=(k+1)/4=9, v_3(t)=2",exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
36,0,Z/3,Z/3,beta_1 beta_2,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
37,0,Z/3,Z/3,"<alpha_1,alpha_1,beta_1^3>",,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
38,0,Z/3,Z/3,beta_{3/2},,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
39,Z/3,Z/3,(Z/3)^2,alpha_1 beta_1 beta_2,"im J; t=(k+1)/4=10, v_3(t)=0",exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
40,0,Z/3,Z/3,beta_1^4,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
41,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
42,0,Z/3,Z/3,beta_3,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
43,Z/3,0,Z/3,,"im J; t=(k+1)/4=11, v_3(t)=0",exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
44,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
45,0,Z/9,Z/9,x_45,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
46,0,Z/3,Z/3,beta_1^2 beta_2,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
47,Z/9,Z/3,Z/3 + Z/9,"<alpha_1,alpha_1,beta_1^4>","im J; t=(k+1)/4=12, v_3(t)=1",exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
48,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
49,0,Z/3,Z/3,alpha_1 beta_1^2 beta_2,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
50,0,Z/3,Z/3,beta_1^5,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
51,Z/3,0,Z/3,,"im J; t=(k+1)/4=13, v_3(t)=0",exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
52,0,Z/3,Z/3,beta_2^2,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
53,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
54,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
55,Z/3,Z/3,(Z/3)^2,alpha_1 beta_2^2,"im J; t=(k+1)/4=14, v_3(t)=0",exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
56,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
57,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
58,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
59,Z/9,0,Z/9,,"im J; t=(k+1)/4=15, v_3(t)=1",exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
60,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
61,0,0,0,,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
62,0,Z/3,Z/3,beta_1 beta_2^2,,exact,"Ravenel 2026, Table A3.2 + image-of-J formula"
