stem,prime,family_type,group,parameter_t,p_adic_valuation,formula_case,status
767,97,odd-primary image J,Z/97,4,0,k=(2p-2)t-1,exact in all dimensions
767,193,odd-primary image J,Z/193,2,0,k=(2p-2)t-1,exact in all dimensions
768,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
769,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
770,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
771,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
771,3,odd-primary image J,Z/3,193,0,k=(2p-2)t-1,exact in all dimensions
775,2,2-primary image-J cyclic summand,Z/16,97,0,"k=8t-1, t odd*2^m",exact
775,3,odd-primary image J,Z/3,194,0,k=(2p-2)t-1,exact in all dimensions
775,5,odd-primary image J,Z/5,97,0,k=(2p-2)t-1,exact in all dimensions
775,389,odd-primary image J,Z/389,1,0,k=(2p-2)t-1,exact in all dimensions
776,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
777,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
778,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
779,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
779,3,odd-primary image J,Z/9,195,1,k=(2p-2)t-1,exact in all dimensions
779,7,odd-primary image J,Z/7,65,0,k=(2p-2)t-1,exact in all dimensions
779,11,odd-primary image J,Z/11,39,0,k=(2p-2)t-1,exact in all dimensions
779,31,odd-primary image J,Z/31,13,0,k=(2p-2)t-1,exact in all dimensions
779,79,odd-primary image J,Z/79,5,0,k=(2p-2)t-1,exact in all dimensions
779,131,odd-primary image J,Z/131,3,0,k=(2p-2)t-1,exact in all dimensions
783,2,2-primary image-J cyclic summand,Z/32,98,1,"k=8t-1, t odd*2^m",exact
783,3,odd-primary image J,Z/3,196,0,k=(2p-2)t-1,exact in all dimensions
783,5,odd-primary image J,Z/5,98,0,k=(2p-2)t-1,exact in all dimensions
783,29,odd-primary image J,Z/29,14,0,k=(2p-2)t-1,exact in all dimensions
783,197,odd-primary image J,Z/197,2,0,k=(2p-2)t-1,exact in all dimensions
784,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
785,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
786,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
787,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
787,3,odd-primary image J,Z/3,197,0,k=(2p-2)t-1,exact in all dimensions
791,2,2-primary image-J cyclic summand,Z/16,99,0,"k=8t-1, t odd*2^m",exact
791,3,odd-primary image J,Z/27,198,2,k=(2p-2)t-1,exact in all dimensions
791,5,odd-primary image J,Z/5,99,0,k=(2p-2)t-1,exact in all dimensions
791,7,odd-primary image J,Z/7,66,0,k=(2p-2)t-1,exact in all dimensions
791,13,odd-primary image J,Z/13,33,0,k=(2p-2)t-1,exact in all dimensions
791,19,odd-primary image J,Z/19,22,0,k=(2p-2)t-1,exact in all dimensions
791,23,odd-primary image J,Z/23,18,0,k=(2p-2)t-1,exact in all dimensions
791,37,odd-primary image J,Z/37,11,0,k=(2p-2)t-1,exact in all dimensions
791,67,odd-primary image J,Z/67,6,0,k=(2p-2)t-1,exact in all dimensions
791,199,odd-primary image J,Z/199,2,0,k=(2p-2)t-1,exact in all dimensions
791,397,odd-primary image J,Z/397,1,0,k=(2p-2)t-1,exact in all dimensions
792,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
793,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
794,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
795,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
795,3,odd-primary image J,Z/3,199,0,k=(2p-2)t-1,exact in all dimensions
799,2,2-primary image-J cyclic summand,Z/64,100,2,"k=8t-1, t odd*2^m",exact
799,3,odd-primary image J,Z/3,200,0,k=(2p-2)t-1,exact in all dimensions
799,5,odd-primary image J,Z/125,100,2,k=(2p-2)t-1,exact in all dimensions
799,11,odd-primary image J,Z/11,40,0,k=(2p-2)t-1,exact in all dimensions
799,17,odd-primary image J,Z/17,25,0,k=(2p-2)t-1,exact in all dimensions
799,41,odd-primary image J,Z/41,10,0,k=(2p-2)t-1,exact in all dimensions
799,101,odd-primary image J,Z/101,4,0,k=(2p-2)t-1,exact in all dimensions
799,401,odd-primary image J,Z/401,1,0,k=(2p-2)t-1,exact in all dimensions
800,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
801,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
802,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
803,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
803,3,odd-primary image J,Z/9,201,1,k=(2p-2)t-1,exact in all dimensions
803,7,odd-primary image J,Z/7,67,0,k=(2p-2)t-1,exact in all dimensions
807,2,2-primary image-J cyclic summand,Z/16,101,0,"k=8t-1, t odd*2^m",exact
807,3,odd-primary image J,Z/3,202,0,k=(2p-2)t-1,exact in all dimensions
807,5,odd-primary image J,Z/5,101,0,k=(2p-2)t-1,exact in all dimensions
808,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
809,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
810,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
811,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
811,3,odd-primary image J,Z/3,203,0,k=(2p-2)t-1,exact in all dimensions
811,59,odd-primary image J,Z/59,7,0,k=(2p-2)t-1,exact in all dimensions
815,2,2-primary image-J cyclic summand,Z/32,102,1,"k=8t-1, t odd*2^m",exact
815,3,odd-primary image J,Z/9,204,1,k=(2p-2)t-1,exact in all dimensions
815,5,odd-primary image J,Z/5,102,0,k=(2p-2)t-1,exact in all dimensions
815,7,odd-primary image J,Z/7,68,0,k=(2p-2)t-1,exact in all dimensions
815,13,odd-primary image J,Z/13,34,0,k=(2p-2)t-1,exact in all dimensions
815,103,odd-primary image J,Z/103,4,0,k=(2p-2)t-1,exact in all dimensions
815,137,odd-primary image J,Z/137,3,0,k=(2p-2)t-1,exact in all dimensions
815,409,odd-primary image J,Z/409,1,0,k=(2p-2)t-1,exact in all dimensions
816,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
817,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
818,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
819,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
819,3,odd-primary image J,Z/3,205,0,k=(2p-2)t-1,exact in all dimensions
819,11,odd-primary image J,Z/11,41,0,k=(2p-2)t-1,exact in all dimensions
819,83,odd-primary image J,Z/83,5,0,k=(2p-2)t-1,exact in all dimensions
823,2,2-primary image-J cyclic summand,Z/16,103,0,"k=8t-1, t odd*2^m",exact
823,3,odd-primary image J,Z/3,206,0,k=(2p-2)t-1,exact in all dimensions
823,5,odd-primary image J,Z/5,103,0,k=(2p-2)t-1,exact in all dimensions
824,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
825,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
826,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
827,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
827,3,odd-primary image J,Z/27,207,2,k=(2p-2)t-1,exact in all dimensions
827,7,odd-primary image J,Z/7,69,0,k=(2p-2)t-1,exact in all dimensions
827,19,odd-primary image J,Z/19,23,0,k=(2p-2)t-1,exact in all dimensions
827,47,odd-primary image J,Z/47,9,0,k=(2p-2)t-1,exact in all dimensions
827,139,odd-primary image J,Z/139,3,0,k=(2p-2)t-1,exact in all dimensions
831,2,2-primary image-J cyclic summand,Z/128,104,3,"k=8t-1, t odd*2^m",exact
831,3,odd-primary image J,Z/3,208,0,k=(2p-2)t-1,exact in all dimensions
831,5,odd-primary image J,Z/5,104,0,k=(2p-2)t-1,exact in all dimensions
831,17,odd-primary image J,Z/17,26,0,k=(2p-2)t-1,exact in all dimensions
831,53,odd-primary image J,Z/53,8,0,k=(2p-2)t-1,exact in all dimensions
832,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
833,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
834,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
835,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
835,3,odd-primary image J,Z/3,209,0,k=(2p-2)t-1,exact in all dimensions
835,23,odd-primary image J,Z/23,19,0,k=(2p-2)t-1,exact in all dimensions
835,419,odd-primary image J,Z/419,1,0,k=(2p-2)t-1,exact in all dimensions
839,2,2-primary image-J cyclic summand,Z/16,105,0,"k=8t-1, t odd*2^m",exact
839,3,odd-primary image J,Z/9,210,1,k=(2p-2)t-1,exact in all dimensions
839,5,odd-primary image J,Z/25,105,1,k=(2p-2)t-1,exact in all dimensions
839,7,odd-primary image J,Z/49,70,1,k=(2p-2)t-1,exact in all dimensions
839,11,odd-primary image J,Z/11,42,0,k=(2p-2)t-1,exact in all dimensions
839,13,odd-primary image J,Z/13,35,0,k=(2p-2)t-1,exact in all dimensions
839,29,odd-primary image J,Z/29,15,0,k=(2p-2)t-1,exact in all dimensions
839,31,odd-primary image J,Z/31,14,0,k=(2p-2)t-1,exact in all dimensions
839,43,odd-primary image J,Z/43,10,0,k=(2p-2)t-1,exact in all dimensions
839,61,odd-primary image J,Z/61,7,0,k=(2p-2)t-1,exact in all dimensions
839,71,odd-primary image J,Z/71,6,0,k=(2p-2)t-1,exact in all dimensions
839,211,odd-primary image J,Z/211,2,0,k=(2p-2)t-1,exact in all dimensions
839,421,odd-primary image J,Z/421,1,0,k=(2p-2)t-1,exact in all dimensions
840,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
841,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
842,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
843,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
