stem,prime,family_type,group,parameter_t,p_adic_valuation,formula_case,status
919,47,odd-primary image J,Z/47,10,0,k=(2p-2)t-1,exact in all dimensions
919,461,odd-primary image J,Z/461,1,0,k=(2p-2)t-1,exact in all dimensions
920,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
921,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
922,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
923,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
923,3,odd-primary image J,Z/9,231,1,k=(2p-2)t-1,exact in all dimensions
923,7,odd-primary image J,Z/49,77,1,k=(2p-2)t-1,exact in all dimensions
923,23,odd-primary image J,Z/23,21,0,k=(2p-2)t-1,exact in all dimensions
923,43,odd-primary image J,Z/43,11,0,k=(2p-2)t-1,exact in all dimensions
923,67,odd-primary image J,Z/67,7,0,k=(2p-2)t-1,exact in all dimensions
923,463,odd-primary image J,Z/463,1,0,k=(2p-2)t-1,exact in all dimensions
927,2,2-primary image-J cyclic summand,Z/64,116,2,"k=8t-1, t odd*2^m",exact
927,3,odd-primary image J,Z/3,232,0,k=(2p-2)t-1,exact in all dimensions
927,5,odd-primary image J,Z/5,116,0,k=(2p-2)t-1,exact in all dimensions
927,17,odd-primary image J,Z/17,29,0,k=(2p-2)t-1,exact in all dimensions
927,59,odd-primary image J,Z/59,8,0,k=(2p-2)t-1,exact in all dimensions
927,233,odd-primary image J,Z/233,2,0,k=(2p-2)t-1,exact in all dimensions
928,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
929,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
930,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
931,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
931,3,odd-primary image J,Z/3,233,0,k=(2p-2)t-1,exact in all dimensions
931,467,odd-primary image J,Z/467,1,0,k=(2p-2)t-1,exact in all dimensions
935,2,2-primary image-J cyclic summand,Z/16,117,0,"k=8t-1, t odd*2^m",exact
935,3,odd-primary image J,Z/27,234,2,k=(2p-2)t-1,exact in all dimensions
935,5,odd-primary image J,Z/5,117,0,k=(2p-2)t-1,exact in all dimensions
935,7,odd-primary image J,Z/7,78,0,k=(2p-2)t-1,exact in all dimensions
935,13,odd-primary image J,Z/169,39,1,k=(2p-2)t-1,exact in all dimensions
935,19,odd-primary image J,Z/19,26,0,k=(2p-2)t-1,exact in all dimensions
935,37,odd-primary image J,Z/37,13,0,k=(2p-2)t-1,exact in all dimensions
935,53,odd-primary image J,Z/53,9,0,k=(2p-2)t-1,exact in all dimensions
935,79,odd-primary image J,Z/79,6,0,k=(2p-2)t-1,exact in all dimensions
935,157,odd-primary image J,Z/157,3,0,k=(2p-2)t-1,exact in all dimensions
936,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
937,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
938,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
939,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
939,3,odd-primary image J,Z/3,235,0,k=(2p-2)t-1,exact in all dimensions
939,11,odd-primary image J,Z/11,47,0,k=(2p-2)t-1,exact in all dimensions
943,2,2-primary image-J cyclic summand,Z/32,118,1,"k=8t-1, t odd*2^m",exact
943,3,odd-primary image J,Z/3,236,0,k=(2p-2)t-1,exact in all dimensions
943,5,odd-primary image J,Z/5,118,0,k=(2p-2)t-1,exact in all dimensions
944,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
945,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
946,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
947,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
947,3,odd-primary image J,Z/9,237,1,k=(2p-2)t-1,exact in all dimensions
947,7,odd-primary image J,Z/7,79,0,k=(2p-2)t-1,exact in all dimensions
951,2,2-primary image-J cyclic summand,Z/16,119,0,"k=8t-1, t odd*2^m",exact
951,3,odd-primary image J,Z/3,238,0,k=(2p-2)t-1,exact in all dimensions
951,5,odd-primary image J,Z/5,119,0,k=(2p-2)t-1,exact in all dimensions
951,29,odd-primary image J,Z/29,17,0,k=(2p-2)t-1,exact in all dimensions
951,239,odd-primary image J,Z/239,2,0,k=(2p-2)t-1,exact in all dimensions
952,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
953,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
954,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
955,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
955,3,odd-primary image J,Z/3,239,0,k=(2p-2)t-1,exact in all dimensions
955,479,odd-primary image J,Z/479,1,0,k=(2p-2)t-1,exact in all dimensions
959,2,2-primary image-J cyclic summand,Z/128,120,3,"k=8t-1, t odd*2^m",exact
959,3,odd-primary image J,Z/9,240,1,k=(2p-2)t-1,exact in all dimensions
959,5,odd-primary image J,Z/25,120,1,k=(2p-2)t-1,exact in all dimensions
959,7,odd-primary image J,Z/7,80,0,k=(2p-2)t-1,exact in all dimensions
959,11,odd-primary image J,Z/11,48,0,k=(2p-2)t-1,exact in all dimensions
959,13,odd-primary image J,Z/13,40,0,k=(2p-2)t-1,exact in all dimensions
959,17,odd-primary image J,Z/17,30,0,k=(2p-2)t-1,exact in all dimensions
959,31,odd-primary image J,Z/31,16,0,k=(2p-2)t-1,exact in all dimensions
959,41,odd-primary image J,Z/41,12,0,k=(2p-2)t-1,exact in all dimensions
959,61,odd-primary image J,Z/61,8,0,k=(2p-2)t-1,exact in all dimensions
959,97,odd-primary image J,Z/97,5,0,k=(2p-2)t-1,exact in all dimensions
959,241,odd-primary image J,Z/241,2,0,k=(2p-2)t-1,exact in all dimensions
960,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
961,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
962,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
963,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
963,3,odd-primary image J,Z/3,241,0,k=(2p-2)t-1,exact in all dimensions
967,2,2-primary image-J cyclic summand,Z/16,121,0,"k=8t-1, t odd*2^m",exact
967,3,odd-primary image J,Z/3,242,0,k=(2p-2)t-1,exact in all dimensions
967,5,odd-primary image J,Z/5,121,0,k=(2p-2)t-1,exact in all dimensions
967,23,odd-primary image J,Z/23,22,0,k=(2p-2)t-1,exact in all dimensions
968,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
969,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
970,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
971,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
971,3,odd-primary image J,Z/729,243,5,k=(2p-2)t-1,exact in all dimensions
971,7,odd-primary image J,Z/7,81,0,k=(2p-2)t-1,exact in all dimensions
971,19,odd-primary image J,Z/19,27,0,k=(2p-2)t-1,exact in all dimensions
971,163,odd-primary image J,Z/163,3,0,k=(2p-2)t-1,exact in all dimensions
971,487,odd-primary image J,Z/487,1,0,k=(2p-2)t-1,exact in all dimensions
975,2,2-primary image-J cyclic summand,Z/32,122,1,"k=8t-1, t odd*2^m",exact
975,3,odd-primary image J,Z/3,244,0,k=(2p-2)t-1,exact in all dimensions
975,5,odd-primary image J,Z/5,122,0,k=(2p-2)t-1,exact in all dimensions
976,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
977,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
978,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
979,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
979,3,odd-primary image J,Z/3,245,0,k=(2p-2)t-1,exact in all dimensions
979,11,odd-primary image J,Z/11,49,0,k=(2p-2)t-1,exact in all dimensions
979,71,odd-primary image J,Z/71,7,0,k=(2p-2)t-1,exact in all dimensions
979,491,odd-primary image J,Z/491,1,0,k=(2p-2)t-1,exact in all dimensions
983,2,2-primary image-J cyclic summand,Z/16,123,0,"k=8t-1, t odd*2^m",exact
983,3,odd-primary image J,Z/9,246,1,k=(2p-2)t-1,exact in all dimensions
983,5,odd-primary image J,Z/5,123,0,k=(2p-2)t-1,exact in all dimensions
983,7,odd-primary image J,Z/7,82,0,k=(2p-2)t-1,exact in all dimensions
983,13,odd-primary image J,Z/13,41,0,k=(2p-2)t-1,exact in all dimensions
983,83,odd-primary image J,Z/83,6,0,k=(2p-2)t-1,exact in all dimensions
984,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
985,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
986,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
987,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
987,3,odd-primary image J,Z/3,247,0,k=(2p-2)t-1,exact in all dimensions
991,2,2-primary image-J cyclic summand,Z/64,124,2,"k=8t-1, t odd*2^m",exact
991,3,odd-primary image J,Z/3,248,0,k=(2p-2)t-1,exact in all dimensions
991,5,odd-primary image J,Z/5,124,0,k=(2p-2)t-1,exact in all dimensions
991,17,odd-primary image J,Z/17,31,0,k=(2p-2)t-1,exact in all dimensions
992,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
993,2,2-primary v1-periodic,(Z/2)^2,,,k congruent 1 mod 8,exact
994,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
995,2,2-primary v1-periodic,Z/8,,,k congruent 3 mod 8,exact
995,3,odd-primary image J,Z/9,249,1,k=(2p-2)t-1,exact in all dimensions
995,7,odd-primary image J,Z/7,83,0,k=(2p-2)t-1,exact in all dimensions
995,167,odd-primary image J,Z/167,3,0,k=(2p-2)t-1,exact in all dimensions
995,499,odd-primary image J,Z/499,1,0,k=(2p-2)t-1,exact in all dimensions
999,2,2-primary image-J cyclic summand,Z/16,125,0,"k=8t-1, t odd*2^m",exact
999,3,odd-primary image J,Z/3,250,0,k=(2p-2)t-1,exact in all dimensions
999,5,odd-primary image J,Z/625,125,3,k=(2p-2)t-1,exact in all dimensions
999,11,odd-primary image J,Z/11,50,0,k=(2p-2)t-1,exact in all dimensions
999,101,odd-primary image J,Z/101,5,0,k=(2p-2)t-1,exact in all dimensions
999,251,odd-primary image J,Z/251,2,0,k=(2p-2)t-1,exact in all dimensions
1000,2,2-primary v1-periodic,Z/2,,,k congruent 0 or 2 mod 8,exact
